,ZIPCODE,SALE PRICE
0,10001,100983678.2
1,10002,37545576.92
2,10003,8590163.98
3,10004,74303527.0
4,10005,112850000.0
5,10006,9500000.0
6,10007,11358950.0
7,10009,4690918.0
8,10010,11460887.0
9,10011,15588059.37
10,10012,53288636.36
11,10013,26466796.31
12,10014,9920628.825
13,10016,4514426.471
14,10017,24992877.78
15,10018,9696250.0
16,10019,11915308.87
17,10020,44960000.0
18,10021,23226408.88
19,10022,34600511.5
20,10023,6036263.262999999
21,10024,7944243.103999999
22,10025,9117404.41
23,10026,3074054.229
24,10027,2459060.083
25,10028,13830101.35
26,10029,1363057.4440000001
27,10030,5699553.105
28,10031,5955750.217
29,10032,3251121.833
30,10033,5644750.0
31,10034,8183182.182
32,10035,2609317.353
33,10036,23015625.0
34,10037,1209018.2859999998
35,10038,3381333.333
36,10039,8232680.75
37,10040,6697000.0
38,10065,16902368.83
39,10075,7028231.0
40,10128,7646785.714
41,10301,705605.2279
42,10302,553041.6769
43,10303,477184.0294
44,10304,717055.9113
45,10305,612881.074
46,10306,641676.4562
47,10307,759137.0176
48,10308,625365.2587
49,10309,1005451.1009999999
50,10310,565750.0437
51,10312,638830.1236
52,10314,720835.0113
53,10451,3940129.048
54,10452,3516737.8
55,10453,2623457.906
56,10454,14654147.0
57,10455,2360085.957
58,10456,2700987.688
59,10457,1398619.95
60,10458,1790537.439
61,10459,2255987.111
62,10460,900283.0515
63,10461,892688.9897
64,10462,835499.2234
65,10463,1629784.2030000002
66,10464,659236.6852
67,10465,644733.5395
68,10466,638221.2448
69,10467,1681094.7719999999
70,10468,2795603.148
71,10469,607280.4911
72,10470,687834.5
73,10471,1325048.24
74,10472,1069300.351
75,10473,639240.7778
76,10474,11177343.22
77,10475,505765.6111
78,11001,609837.2326
79,11004,752421.0426
80,11040,773582.3125
81,11101,23700272.93
82,11102,1787375.3
83,11103,1913201.341
84,11104,1434269.211
85,11105,1174426.679
86,11106,1830537.66
87,11201,3017973.291
88,11203,673628.5854
89,11204,1377860.263
90,11205,3416056.5710000005
91,11206,2778453.562
92,11207,822842.6438
93,11208,723815.4649
94,11209,1718865.5790000001
95,11210,970996.2609
96,11211,2309571.826
97,11212,966517.5163
98,11213,1601400.7969999998
99,11214,1306361.354
100,11215,3344716.46
101,11216,3011743.3389999997
102,11217,3642432.738
103,11218,1520509.495
104,11219,1972175.126
105,11220,1428622.273
106,11221,1565410.624
107,11222,3097612.6539999996
108,11223,1747169.844
109,11224,651325.3333
110,11225,1716277.594
111,11226,2563138.86
112,11228,1231103.361
113,11229,865517.6314
114,11230,1763575.131
115,11231,3758521.209
116,11232,3640362.889
117,11233,1358005.9730000002
118,11234,835596.3244
119,11235,1188719.545
120,11236,855580.495
121,11237,2198758.1980000003
122,11238,5744169.086
123,11239,579709.35
124,11249,6899687.594
125,11354,1495773.957
126,11355,2359915.473
127,11356,1206401.514
128,11357,1522860.858
129,11358,971639.7407
130,11360,1151473.075
131,11361,1075601.707
132,11362,1000397.926
133,11363,1083149.159
134,11364,948156.3403
135,11365,914962.5282
136,11366,873641.9727
137,11367,853643.8155
138,11368,1206594.8490000002
139,11369,1413318.743
140,11370,1093770.862
141,11372,2077439.118
142,11373,1339016.508
143,11374,1166268.86
144,11375,1467640.803
145,11377,1183793.8020000001
146,11378,1258487.021
147,11379,817999.3929999999
148,11385,1480547.5019999999
149,11411,497360.5414
150,11412,708648.1018
151,11413,594254.4675
152,11414,755011.7172
153,11415,1036248.714
154,11416,863138.6148
155,11417,672916.8495
156,11418,781347.8188
157,11419,776060.1982
158,11420,621626.9643
159,11421,689289.8990000001
160,11422,755876.6887
161,11423,767389.4885
162,11426,716707.8313
163,11427,809978.1214
164,11428,610904.7222
165,11429,560554.296
166,11432,951565.5893
167,11433,620085.49
168,11434,571557.5924
169,11435,1003355.332
170,11436,551965.8021
171,11691,892044.8981
172,11692,565680.3012
173,11693,497356.7544
174,11694,998857.3529
