,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
0,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,374,46,A4,347 EAST 4TH STREET,10009,1,0,1,2116,4400,1900,A4,2385000,2021/2/9
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,374,1,C7,301-303 EAST 4TH STREET,10009,8,2,10,1501,6929,1900,C7,3672530,2020/11/24
5,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,376,54,C4,"719 EAST SIXTH STREET, 5C",10009,20,0,20,2302,9750,1900,C4,154196,2021/6/11
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,386,53,C1,233 EAST 3 STREET,10009,29,0,29,3927,17754,1910,C1,7500000,2021/6/14
7,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,390,57,C7,197 EAST 7TH STREET,10009,10,1,11,1600,5320,1910,C7,3425000,2021/2/11
9,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,393,37,C7,"167 AVENUE C, 2A",10009,8,2,10,1920,7485,1920,C7,37189,2020/9/1
10,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,393,37,C7,"167 AVENUE C, 3B",10009,8,2,10,1920,7485,1920,C7,20661,2020/9/1
11,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,394,37,C4,656 EAST 12 STREET,10009,9,1,10,1273,6365,1910,C4,3,2021/6/30
13,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,401,13,C4,506 EAST 6TH STREET,10009,14,0,14,2426,6825,1920,C4,3950000,2020/8/24
14,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,404,52,C2,307 EAST 10TH STREET,10009,5,0,5,2863,5500,1900,C2,7000000,2020/10/22
15,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,405,13,C7,510 EAST 12TH STREET,10009,20,2,22,2581,10090,1920,C7,9923209,2021/4/23
16,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,405,15,C4,514 EAST 12TH STREET,10009,20,0,20,2581,9730,1920,C4,9482177,2021/4/23
17,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,405,46,C4,533 EAST 11 STREET,10009,14,0,14,2581,11448,1920,C4,3,2021/6/30
